v1	Id(Mab)
0.000000000000000e+000	9.491070e-012
1.000000000000000e-004	9.515404e-012
2.000000000000000e-004	9.539805e-012
3.000000000000000e-004	9.564272e-012
4.000000000000000e-004	9.588807e-012
5.000000000000000e-004	9.613410e-012
6.000000000000001e-004	9.638080e-012
7.000000000000001e-004	9.662819e-012
8.000000000000002e-004	9.687625e-012
9.000000000000002e-004	9.712500e-012
1.000000000000000e-003	9.737443e-012
1.100000000000000e-003	9.762455e-012
1.200000000000000e-003	9.787534e-012
1.300000000000000e-003	9.812685e-012
1.400000000000000e-003	9.837903e-012
1.500000000000001e-003	9.863191e-012
1.600000000000001e-003	9.888548e-012
1.700000000000001e-003	9.913976e-012
1.800000000000001e-003	9.939474e-012
1.900000000000001e-003	9.965041e-012
2.000000000000001e-003	9.990678e-012
2.100000000000000e-003	1.001639e-011
2.200000000000000e-003	1.004217e-011
2.300000000000000e-003	1.006802e-011
2.400000000000000e-003	1.009394e-011
2.500000000000000e-003	1.011993e-011
2.599999999999999e-003	1.014599e-011
2.699999999999999e-003	1.017213e-011
2.799999999999999e-003	1.019834e-011
2.899999999999999e-003	1.022462e-011
2.999999999999999e-003	1.025097e-011
3.099999999999999e-003	1.027739e-011
3.199999999999998e-003	1.030389e-011
3.299999999999998e-003	1.033046e-011
3.399999999999998e-003	1.035710e-011
3.499999999999998e-003	1.038382e-011
3.599999999999998e-003	1.041061e-011
3.699999999999998e-003	1.043747e-011
3.799999999999997e-003	1.046441e-011
3.899999999999997e-003	1.049142e-011
3.999999999999998e-003	1.051851e-011
4.099999999999998e-003	1.054567e-011
4.199999999999998e-003	1.057290e-011
4.299999999999998e-003	1.060021e-011
4.399999999999999e-003	1.062760e-011
4.499999999999999e-003	1.065506e-011
4.599999999999999e-003	1.068260e-011
4.699999999999999e-003	1.071021e-011
4.800000000000000e-003	1.073790e-011
4.900000000000000e-003	1.076566e-011
5.000000000000000e-003	1.079350e-011
5.100000000000000e-003	1.082142e-011
5.200000000000001e-003	1.084941e-011
5.300000000000001e-003	1.087748e-011
5.400000000000001e-003	1.090563e-011
5.500000000000001e-003	1.093386e-011
5.600000000000002e-003	1.096216e-011
