Length	gdp	
3.96	1.31E-06	0.000539146
3.98	1.30E-06	0.000536504
4	1.29E-06	0.000533888
4.02	1.27E-06	0.000531298
4.04	1.26E-06	0.000528733
4.06	1.25E-06	0.000526192
4.08	1.24E-06	0.000523676
4.1	1.23E-06	0.000521184
4.12	1.22E-06	0.000518715
4.14	1.21E-06	0.00051627
4.16	1.19E-06	0.000513847
4.18	1.18E-06	0.000511448
4.2	1.17E-06	0.000509071
4.22	1.16E-06	0.000506715
4.24	1.15E-06	0.000504382
4.26	1.14E-06	0.00050207
4.28	1.13E-06	0.000499779
4.3	1.12E-06	0.000497509
4.32	1.11E-06	0.000495259
4.34	1.10E-06	0.00049303
4.36	1.09E-06	0.000490821
4.38	1.08E-06	0.000488631
4.4	1.07E-06	0.000486461
4.42	1.06E-06	0.00048431
4.44	1.06E-06	0.000482178
4.46	1.05E-06	0.000480065
4.48	1.04E-06	0.00047797
4.5	1.03E-06	0.000475894
4.52	1.02E-06	0.000473836
4.54	1.01E-06	0.000471795
4.56	1.00E-06	0.000469772
4.58	9.96E-07	0.000467766
4.6	9.88E-07	0.000465777
4.62	9.79E-07	0.000463805
4.64	9.72E-07	0.00046185
4.66	9.64E-07	0.000459911
4.68	9.56E-07	0.000457988
4.7	9.48E-07	0.000456082
4.72	9.41E-07	0.000454191
4.74	9.33E-07	0.000452316
4.76	9.26E-07	0.000450456
4.78	9.19E-07	0.000448612
4.8	9.11E-07	0.000446782
4.82	9.04E-07	0.000444968
4.84	8.97E-07	0.000443168
4.86	8.90E-07	0.000441383
4.88	8.83E-07	0.000439612
4.9	8.77E-07	0.000437855
4.92	8.70E-07	0.000436113
4.94	8.63E-07	0.000434384
4.96	8.57E-07	0.000432668
4.98	8.50E-07	0.000430967
5	8.44E-07	0.000429278
5.02	8.38E-07	0.000427603
5.04	8.31E-07	0.000425941
5.06	8.25E-07	0.000424292
5.08	8.19E-07	0.000422655
5.1	8.13E-07	0.000421031
5.12	8.07E-07	0.00041942
5.14	8.01E-07	0.000417821
5.16	7.95E-07	0.000416234
5.18	7.90E-07	0.000414659
5.2	7.84E-07	0.000413095
5.22	7.78E-07	0.000411544
5.24	7.73E-07	0.000410004
5.26	7.67E-07	0.000408476
5.28	7.62E-07	0.000406959
5.3	7.56E-07	0.000405454
5.32	7.51E-07	0.000403959
5.34	7.46E-07	0.000402475
5.36	7.40E-07	0.000401003
5.38	7.35E-07	0.000399541
5.4	7.30E-07	0.00039809
5.42	7.25E-07	0.000396649
5.44	7.20E-07	0.000395218
5.46	7.15E-07	0.000393798
5.48	7.10E-07	0.000392388
5.5	7.05E-07	0.000390989
5.52	7.01E-07	0.000389599
5.54	6.96E-07	0.000388219
5.56	6.91E-07	0.000386848
5.58	6.87E-07	0.000385488
5.6	6.82E-07	0.000384137
5.62	6.77E-07	0.000382795
5.64	6.73E-07	0.000381463
5.66	6.68E-07	0.00038014
5.68	6.64E-07	0.000378826
5.7	6.60E-07	0.000377521
5.72	6.55E-07	0.000376225
5.74	6.51E-07	0.000374938
5.76	6.47E-07	0.00037366
5.78	6.43E-07	0.000372391
5.8	6.39E-07	0.00037113
5.82	6.34E-07	0.000369877
5.84	6.30E-07	0.000368634
5.86	6.26E-07	0.000367398
5.88	6.22E-07	0.000366171
5.9	6.18E-07	0.000364951
5.92	6.15E-07	0.00036374
5.94	6.11E-07	0.000362537
5.96	6.07E-07	0.000361342
5.98	6.03E-07	0.000360155
6	5.99E-07	0.000358976
6.02	5.96E-07	0.000357804
6.04	5.92E-07	0.00035664
6.06	5.88E-07	0.000355483
6.08	5.85E-07	0.000354334
6.1	5.81E-07	0.000353192
6.12	5.77E-07	0.000352058
6.14	5.74E-07	0.000350931
6.16	5.70E-07	0.000349811
6.18	5.67E-07	0.000348699
6.2	5.64E-07	0.000347593
6.22	5.60E-07	0.000346494
6.24	5.57E-07	0.000345402
6.26	5.54E-07	0.000344318
6.28	5.50E-07	0.00034324
6.3	5.47E-07	0.000342168
6.32	5.44E-07	0.000341104
6.34	5.41E-07	0.000340045
6.36	5.37E-07	0.000338994
6.38	5.34E-07	0.000337949
6.4	5.31E-07	0.00033691
6.42	5.28E-07	0.000335878
6.44	5.25E-07	0.000334852
6.46	5.22E-07	0.000333833
6.48	5.19E-07	0.000332819
6.5	5.16E-07	0.000331812
6.52	5.13E-07	0.000330811
6.54	5.10E-07	0.000329815
6.56	5.07E-07	0.000328826
6.58	5.04E-07	0.000327843
6.6	5.02E-07	0.000326865
6.62	4.99E-07	0.000325894
6.64	4.96E-07	0.000324928
6.66	4.93E-07	0.000323968
6.68	4.90E-07	0.000323013
6.7	4.88E-07	0.000322064
6.72	4.85E-07	0.000321121
6.74	4.82E-07	0.000320183
6.76	4.80E-07	0.000319251
6.78	4.77E-07	0.000318324
6.8	4.74E-07	0.000317402
6.82	4.72E-07	0.000316486
6.84	4.69E-07	0.000315575
6.86	4.67E-07	0.00031467
6.88	4.64E-07	0.000313769
6.9	4.62E-07	0.000312874
6.92	4.59E-07	0.000311983
6.94	4.57E-07	0.000311098
6.96	4.54E-07	0.000310218
6.98	4.52E-07	0.000309343
7	4.49E-07	0.000308472
7.02	4.47E-07	0.000307607
7.04	4.45E-07	0.000306746
7.06	4.42E-07	0.00030589
7.08	4.40E-07	0.000305039
7.1	4.38E-07	0.000304193
7.12	4.35E-07	0.000303352
7.14	4.33E-07	0.000302515
7.16	4.31E-07	0.000301682
7.18	4.29E-07	0.000300855
7.2	4.27E-07	0.000300031
7.22	4.24E-07	0.000299213
7.24	4.22E-07	0.000298398
7.26	4.20E-07	0.000297588
7.28	4.18E-07	0.000296783
7.3	4.16E-07	0.000295982
7.32	4.14E-07	0.000295185
7.34	4.12E-07	0.000294392
7.36	4.09E-07	0.000293604
7.38	4.07E-07	0.00029282
7.4	4.05E-07	0.00029204
7.42	4.03E-07	0.000291264
7.44	4.01E-07	0.000290493
7.46	3.99E-07	0.000289725
7.48	3.97E-07	0.000288962
7.5	3.95E-07	0.000288202
7.52	3.93E-07	0.000287447
7.54	3.92E-07	0.000286695
7.56	3.90E-07	0.000285948
7.58	3.88E-07	0.000285204
7.6	3.86E-07	0.000284464
7.62	3.84E-07	0.000283728
7.64	3.82E-07	0.000282996
7.66	3.80E-07	0.000282267
7.68	3.78E-07	0.000281542
7.7	3.77E-07	0.000280821
7.72	3.75E-07	0.000280104
7.74	3.73E-07	0.00027939
7.76	3.71E-07	0.00027868
7.78	3.69E-07	0.000277974
7.8	3.68E-07	0.000277271
7.82	3.66E-07	0.000276572
7.84	3.64E-07	0.000275876
7.86	3.63E-07	0.000275184
7.88	3.61E-07	0.000274495
7.9	3.59E-07	0.000273809
7.92	3.57E-07	0.000273127
7.94	3.56E-07	0.000272449
7.96	3.54E-07	0.000271774
7.98	3.52E-07	0.000271102
8	3.51E-07	0.000270433
8.02	3.49E-07	0.000269768
8.04	3.48E-07	0.000269106
8.06	3.46E-07	0.000268447
8.08	3.44E-07	0.000267791
8.1	3.43E-07	0.000267139
8.12	3.41E-07	0.00026649
8.14	3.40E-07	0.000265844
8.16	3.38E-07	0.000265201
8.18	3.37E-07	0.000264561
8.2	3.35E-07	0.000263924
8.22	3.34E-07	0.000263291
8.24	3.32E-07	0.00026266
8.26	3.31E-07	0.000262033
8.28	3.29E-07	0.000261408
8.3	3.28E-07	0.000260786
8.32	3.26E-07	0.000260168
8.34	3.25E-07	0.000259552
8.36	3.23E-07	0.000258939
8.38	3.22E-07	0.000258329
8.4	3.21E-07	0.000257722
8.42	3.19E-07	0.000257118
8.44	3.18E-07	0.000256516
8.46	3.16E-07	0.000255918
8.48	3.15E-07	0.000255322
8.5	3.14E-07	0.000254729
8.52	3.12E-07	0.000254139
8.54	3.11E-07	0.000253551
8.56	3.10E-07	0.000252966
8.58	3.08E-07	0.000252384
8.6	3.07E-07	0.000251804
8.62	3.06E-07	0.000251228
8.64	3.04E-07	0.000250653
8.66	3.03E-07	0.000250082
8.68	3.02E-07	0.000249513
8.7	3.01E-07	0.000248946
8.72	2.99E-07	0.000248383
8.74	2.98E-07	0.000247821
8.76	2.97E-07	0.000247263
8.78	2.96E-07	0.000246706
8.8	2.94E-07	0.000246153
8.82	2.93E-07	0.000245601
8.84	2.92E-07	0.000245053
8.86	2.91E-07	0.000244506
8.88	2.89E-07	0.000243962
8.9	2.88E-07	0.000243421
8.92	2.87E-07	0.000242882
8.94	2.86E-07	0.000242345
8.96	2.85E-07	0.000241811
