Freq.	V(mid)
4.07380277804112e+06	(5.82159664591879e+01dB,1.79995281204698e+02°)
4.16869383470335e+06	(5.82159664584087e+01dB,1.79995171289836e+02°)
4.26579518801592e+06	(5.82159664575928e+01dB,1.79995058814728e+02°)
4.36515832240165e+06	(5.82159664567384e+01dB,1.79994943719737e+02°)
4.46683592150962e+06	(5.82159664558437e+01dB,1.79994825943841e+02°)
4.57088189614874e+06	(5.82159664549069e+01dB,1.79994705424591e+02°)
4.67735141287197e+06	(5.82159664539259e+01dB,1.79994582098087e+02°)
4.78630092322638e+06	(5.82159664528987e+01dB,1.79994455898940e+02°)
4.89778819368445e+06	(5.82159664518231e+01dB,1.79994326760237e+02°)
5.01187233627271e+06	(5.82159664506968e+01dB,1.79994194613507e+02°)
5.12861383991364e+06	(5.82159664495174e+01dB,1.79994059388684e+02°)
5.24807460249772e+06	(5.82159664482824e+01dB,1.79993921014071e+02°)
5.37031796370252e+06	(5.82159664469892e+01dB,1.79993779416299e+02°)
5.49540873857624e+06	(5.82159664456351e+01dB,1.79993634520292e+02°)
5.62341325190348e+06	(5.82159664442171e+01dB,1.79993486249222e+02°)
5.75439937337156e+06	(5.82159664427324e+01dB,1.79993334524476e+02°)
5.88843655355588e+06	(5.82159664411776e+01dB,1.79993179265607e+02°)
6.02559586074357e+06	(5.82159664395496e+01dB,1.79993020390294e+02°)
6.16595001861481e+06	(5.82159664378448e+01dB,1.79992857814299e+02°)
6.30957344480192e+06	(5.82159664360598e+01dB,1.79992691451424e+02°)
6.45654229034654e+06	(5.82159664341905e+01dB,1.79992521213459e+02°)
6.60693448007595e+06	(5.82159664322332e+01dB,1.79992347010142e+02°)
6.76082975391980e+06	(5.82159664301837e+01dB,1.79992168749109e+02°)
6.91830970918935e+06	(5.82159664280375e+01dB,1.79991986335843e+02°)
7.07945784384136e+06	(5.82159664257902e+01dB,1.79991799673627e+02°)
7.24435960074989e+06	(5.82159664234370e+01dB,1.79991608663489e+02°)
7.41310241300916e+06	(5.82159664209729e+01dB,1.79991413204153e+02°)
7.58577575029182e+06	(5.82159664183927e+01dB,1.79991213191985e+02°)
7.76247116628690e+06	(5.82159664156908e+01dB,1.79991008520935e+02°)
7.94328234724280e+06	(5.82159664128617e+01dB,1.79990799082484e+02°)
8.12830516164097e+06	(5.82159664098992e+01dB,1.79990584765584e+02°)
8.31763771102669e+06	(5.82159664067970e+01dB,1.79990365456603e+02°)
8.51138038202375e+06	(5.82159664035487e+01dB,1.79990141039260e+02°)
8.70963589956079e+06	(5.82159664001473e+01dB,1.79989911394565e+02°)
8.91250938133743e+06	(5.82159663965856e+01dB,1.79989676400758e+02°)
9.12010839355908e+06	(5.82159663928560e+01dB,1.79989435933243e+02°)
9.33254300796989e+06	(5.82159663889507e+01dB,1.79989189864519e+02°)
9.54992586021434e+06	(5.82159663848612e+01dB,1.79988938064119e+02°)
9.77237220955808e+06	(5.82159663805791e+01dB,1.79988680398534e+02°)
9.99999999999998e+06	(5.82159663760952e+01dB,1.79988416731147e+02°)
1.02329299228075e+07	(5.82159663713999e+01dB,1.79988146922158e+02°)
1.04712854805090e+07	(5.82159663664834e+01dB,1.79987870828510e+02°)
1.07151930523760e+07	(5.82159663613351e+01dB,1.79987588303815e+02°)
1.09647819614318e+07	(5.82159663559443e+01dB,1.79987299198274e+02°)
1.12201845430196e+07	(5.82159663502993e+01dB,1.79987003358601e+02°)
1.14815362149688e+07	(5.82159663443883e+01dB,1.79986700627937e+02°)
1.17489755493953e+07	(5.82159663381988e+01dB,1.79986390845770e+02°)
1.20226443461741e+07	(5.82159663317175e+01dB,1.79986073847850e+02°)
1.23026877081238e+07	(5.82159663249308e+01dB,1.79985749466100e+02°)
1.25892541179416e+07	(5.82159663178242e+01dB,1.79985417528529e+02°)
1.28824955169313e+07	(5.82159663103827e+01dB,1.79985077859139e+02°)
1.31825673855640e+07	(5.82159663025906e+01dB,1.79984730277832e+02°)
1.34896288259165e+07	(5.82159662944311e+01dB,1.79984374600318e+02°)
1.38038426460288e+07	(5.82159662858872e+01dB,1.79984010638010e+02°)
1.41253754462275e+07	(5.82159662769405e+01dB,1.79983638197931e+02°)
1.44543977074592e+07	(5.82159662675723e+01dB,1.79983257082609e+02°)
1.47910838816820e+07	(5.82159662577625e+01dB,1.79982867089972e+02°)
1.51356124843620e+07	(5.82159662474904e+01dB,1.79982468013239e+02°)
1.54881661891248e+07	(5.82159662367341e+01dB,1.79982059640816e+02°)
1.58489319246111e+07	(5.82159662254710e+01dB,1.79981641756178e+02°)
1.62181009735892e+07	(5.82159662136770e+01dB,1.79981214137756e+02°)
1.65958690743756e+07	(5.82159662013272e+01dB,1.79980776558823e+02°)
1.69824365246174e+07	(5.82159661883954e+01dB,1.79980328787368e+02°)
1.73780082874937e+07	(5.82159661748542e+01dB,1.79979870585977e+02°)
1.77827941003892e+07	(5.82159661606747e+01dB,1.79979401711705e+02°)
1.81970085860998e+07	(5.82159661458270e+01dB,1.79978921915949e+02°)
1.86208713666286e+07	(5.82159661302795e+01dB,1.79978430944316e+02°)
1.90546071796324e+07	(5.82159661139993e+01dB,1.79977928536485e+02°)
1.94984459975804e+07	(5.82159660969519e+01dB,1.79977414426074e+02°)
1.99526231496887e+07	(5.82159660791010e+01dB,1.79976888340494e+02°)
2.04173794466952e+07	(5.82159660604088e+01dB,1.79976350000808e+02°)
2.08929613085403e+07	(5.82159660408357e+01dB,1.79975799121582e+02°)
2.13796208950223e+07	(5.82159660203402e+01dB,1.79975235410731e+02°)
2.18776162394955e+07	(5.82159659988787e+01dB,1.79974658569370e+02°)
2.23872113856833e+07	(5.82159659764058e+01dB,1.79974068291650e+02°)
2.29086765276777e+07	(5.82159659528737e+01dB,1.79973464264596e+02°)
2.34422881531991e+07	(5.82159659282327e+01dB,1.79972846167948e+02°)
2.39883291901948e+07	(5.82159659024303e+01dB,1.79972213673981e+02°)
2.45470891568502e+07	(5.82159658754119e+01dB,1.79971566447339e+02°)
2.51188643150957e+07	(5.82159658471202e+01dB,1.79970904144855e+02°)
2.57039578276885e+07	(5.82159658174951e+01dB,1.79970226415367e+02°)
2.63026799189537e+07	(5.82159657864738e+01dB,1.79969532899534e+02°)
2.69153480392691e+07	(5.82159657539906e+01dB,1.79968823229646e+02°)
2.75422870333816e+07	(5.82159657199764e+01dB,1.79968097029425e+02°)
2.81838293126444e+07	(5.82159656843592e+01dB,1.79967353913832e+02°)
2.88403150312660e+07	(5.82159656470635e+01dB,1.79966593488857e+02°)
2.95120922666637e+07	(5.82159656080100e+01dB,1.79965815351313e+02°)
3.01995172040200e+07	(5.82159655671160e+01dB,1.79965019088622e+02°)
3.09029543251358e+07	(5.82159655242947e+01dB,1.79964204278595e+02°)
3.16227766016837e+07	(5.82159654794554e+01dB,1.79963370489210e+02°)
3.23593656929627e+07	(5.82159654325028e+01dB,1.79962517278380e+02°)
3.31131121482590e+07	(5.82159653833374e+01dB,1.79961644193723e+02°)
3.38844156139201e+07	(5.82159653318549e+01dB,1.79960750772318e+02°)
3.46736850452530e+07	(5.82159652779461e+01dB,1.79959836540462e+02°)
3.54813389233574e+07	(5.82159652214967e+01dB,1.79958901013417e+02°)
3.63078054770100e+07	(5.82159651623869e+01dB,1.79957943695156e+02°)
3.71535229097171e+07	(5.82159651004913e+01dB,1.79956964078096e+02°)
3.80189396320560e+07	(5.82159650356787e+01dB,1.79955961642833e+02°)
3.89045144994279e+07	(5.82159649678116e+01dB,1.79954935857863e+02°)
3.98107170553496e+07	(5.82159648967459e+01dB,1.79953886179301e+02°)
4.07380277804111e+07	(5.82159648223311e+01dB,1.79952812050596e+02°)
4.16869383470334e+07	(5.82159647444092e+01dB,1.79951712902230e+02°)
4.26579518801591e+07	(5.82159646628150e+01dB,1.79950588151423e+02°)
4.36515832240164e+07	(5.82159645773753e+01dB,1.79949437201818e+02°)
4.46683592150961e+07	(5.82159644879090e+01dB,1.79948259443166e+02°)
4.57088189614873e+07	(5.82159643942263e+01dB,1.79947054251007e+02°)
4.67735141287196e+07	(5.82159642961285e+01dB,1.79945820986333e+02°)
4.78630092322636e+07	(5.82159641934074e+01dB,1.79944558995252e+02°)
4.89778819368444e+07	(5.82159640858453e+01dB,1.79943267608642e+02°)
5.01187233627270e+07	(5.82159639732139e+01dB,1.79941946141794e+02°)
5.12861383991363e+07	(5.82159638552743e+01dB,1.79940593894050e+02°)
5.24807460249770e+07	(5.82159637317765e+01dB,1.79939210148434e+02°)
5.37031796370251e+07	(5.82159636024584e+01dB,1.79937794171267e+02°)
5.49540873857622e+07	(5.82159634670457e+01dB,1.79936345211781e+02°)
5.62341325190347e+07	(5.82159633252511e+01dB,1.79934862501723e+02°)
5.75439937337155e+07	(5.82159631767741e+01dB,1.79933345254941e+02°)
5.88843655355586e+07	(5.82159630212995e+01dB,1.79931792666974e+02°)
6.02559586074355e+07	(5.82159628584976e+01dB,1.79930203914624e+02°)
6.16595001861480e+07	(5.82159626880232e+01dB,1.79928578155515e+02°)
6.30957344480191e+07	(5.82159625095145e+01dB,1.79926914527653e+02°)
6.45654229034653e+07	(5.82159623225930e+01dB,1.79925212148964e+02°)
6.60693448007593e+07	(5.82159621268621e+01dB,1.79923470116827e+02°)
6.76082975391979e+07	(5.82159619219067e+01dB,1.79921687507600e+02°)
6.91830970918933e+07	(5.82159617072921e+01dB,1.79919863376123e+02°)
7.07945784384135e+07	(5.82159614825630e+01dB,1.79917996755223e+02°)
7.24435960074987e+07	(5.82159612472428e+01dB,1.79916086655199e+02°)
7.41310241300914e+07	(5.82159610008323e+01dB,1.79914132063295e+02°)
7.58577575029180e+07	(5.82159607428088e+01dB,1.79912131943168e+02°)
7.76247116628688e+07	(5.82159604726251e+01dB,1.79910085234335e+02°)
7.94328234724278e+07	(5.82159601897080e+01dB,1.79907990851609e+02°)
8.12830516164096e+07	(5.82159598934574e+01dB,1.79905847684530e+02°)
8.31763771102667e+07	(5.82159595832450e+01dB,1.79903654596770e+02°)
8.51138038202373e+07	(5.82159592584128e+01dB,1.79901410425534e+02°)
8.70963589956077e+07	(5.82159589182717e+01dB,1.79899113980941e+02°)
8.91250938133741e+07	(5.82159585621003e+01dB,1.79896764045397e+02°)
9.12010839355906e+07	(5.82159581891430e+01dB,1.79894359372946e+02°)
9.33254300796987e+07	(5.82159577986089e+01dB,1.79891898688609e+02°)
9.54992586021431e+07	(5.82159573896694e+01dB,1.79889380687712e+02°)
9.77237220955806e+07	(5.82159569614573e+01dB,1.79886804035191e+02°)
9.99999999999995e+07	(5.82159565130642e+01dB,1.79884167364885e+02°)
1.02329299228075e+08	(5.82159560435390e+01dB,1.79881469278812e+02°)
1.04712854805089e+08	(5.82159555518858e+01dB,1.79878708346426e+02°)
1.07151930523760e+08	(5.82159550370617e+01dB,1.79875883103864e+02°)
1.09647819614318e+08	(5.82159544979748e+01dB,1.79872992053161e+02°)
1.12201845430196e+08	(5.82159539334815e+01dB,1.79870033661466e+02°)
1.14815362149688e+08	(5.82159533423846e+01dB,1.79867006360221e+02°)
1.17489755493952e+08	(5.82159527234301e+01dB,1.79863908544335e+02°)
1.20226443461741e+08	(5.82159520753053e+01dB,1.79860738571329e+02°)
1.23026877081237e+08	(5.82159513966354e+01dB,1.79857494760468e+02°)
1.25892541179416e+08	(5.82159506859809e+01dB,1.79854175391869e+02°)
1.28824955169313e+08	(5.82159499418343e+01dB,1.79850778705589e+02°)
1.31825673855640e+08	(5.82159491626172e+01dB,1.79847302900693e+02°)
1.34896288259165e+08	(5.82159483466770e+01dB,1.79843746134299e+02°)
1.38038426460288e+08	(5.82159474922827e+01dB,1.79840106520599e+02°)
1.41253754462275e+08	(5.82159465976222e+01dB,1.79836382129861e+02°)
1.44543977074592e+08	(5.82159456607978e+01dB,1.79832570987409e+02°)
