0.001	1.21996174138710E-09
0.002	1.26054670927870E-09
0.003	1.30247925636740E-09
0.004	1.34580399814181E-09
0.005	1.39056702065650E-09
0.006	1.43681592880830E-09
0.007	1.48459989603660E-09
0.008	1.53396971543970E-09
0.009	1.58497785308640E-09
0.01	1.63767850241270E-09
0.011	1.69212764095130E-09
0.012	1.74838308827440E-09
0.013	1.80650456664481E-09
0.014	1.86655376267510E-09
0.015	1.92859439165360E-09
0.016	1.99269226381711E-09
0.017	2.05891535250819E-09
0.018	2.12733386476291E-09
0.019	2.19802031407229E-09
0.02	2.27104959560000E-09
0.021	2.34649906371670E-09
0.022	2.42444861180661E-09
0.023	2.50498075533860E-09
0.024	2.58818071665379E-09
0.025	2.67413651320931E-09
0.026	2.76293904843200E-09
0.027	2.85468220533750E-09
0.028	2.94946294316680E-09
0.029	3.04738139746259E-09
0.03	3.14854098278391E-09
0.031	3.25304849930200E-09
0.032	3.36101424212699E-09
0.033	3.47255211489601E-09
0.034	3.58777974609999E-09
0.035	3.70681861010200E-09
0.036	3.82979415097302E-09
0.037	3.95683591116699E-09
0.038	4.08807766367200E-09
0.039	4.22365754869999E-09
0.04	4.36371821433000E-09
0.041	4.50840696221600E-09
0.042	4.65787589732000E-09
0.043	4.81228208261802E-09
0.044	4.97178769857699E-09
0.045	5.13656020817700E-09
0.046	5.30677252608299E-09
0.047	5.48260319446899E-09
0.048	5.66423656300900E-09
0.049	5.85186297585899E-09
0.05	6.04567896321299E-09
0.051	6.24588744019905E-09
0.052	6.45269791054200E-09
0.053	6.66632667804997E-09
0.054	6.88699706382200E-09
0.055	7.11493963002201E-09
0.056	7.35039241185198E-09
0.057	7.59360115529398E-09
0.058	7.84481956329300E-09
0.059	8.10430954897907E-09
0.06	8.37234149722298E-09
0.061	8.64919453387198E-09
0.062	8.93515680376301E-09
0.063	9.23052575659701E-09
0.064	9.53560844287295E-09
0.065	9.85072181748002E-09
0.066	1.01761930538150E-08
0.067	1.05123598671050E-08
0.068	1.08595708473540E-08
0.069	1.12181858031780E-08
0.07	1.15885761157070E-08
0.071	1.19711251033321E-08
0.072	1.23662283977560E-08
0.073	1.27742943312970E-08
0.074	1.31957443364850E-08
0.075	1.36310133570410E-08
0.076	1.40805502717100E-08
0.077	1.45448183315470E-08
0.078	1.50242956087959E-08
0.079	1.55194754613811E-08
0.08	1.60308670097849E-08
0.081	1.65589956290610E-08
0.082	1.71044034550611E-08
0.083	1.76676499069800E-08
0.084	1.82493122237719E-08
0.085	1.88499860182980E-08
0.086	1.94702858471673E-08
0.087	2.01108457971310E-08
0.088	2.07723200897740E-08
0.089	2.14553837038919E-08
0.09	2.21607330157090E-08
0.091	2.28890864584561E-08
0.092	2.36411852015489E-08
0.093	2.44177938490301E-08
0.094	2.52197011594989E-08
0.095	2.60477207855871E-08
0.096	2.69026920372309E-08
0.097	2.77854806643170E-08
0.098	2.86969796651499E-08
0.099	2.96381101153320E-08
0.1	3.06098220230829E-08
0.101	3.16130952076671E-08
0.102	3.26489402038664E-08
0.103	3.37183991916899E-08
0.104	3.48225469531700E-08
0.105	3.59624918569000E-08
0.106	3.71393768689800E-08
0.107	3.83543805945299E-08
0.108	3.96087183477200E-08
0.109	4.09036432507699E-08
0.11	4.22404473672400E-08
0.111	4.36204628627400E-08
0.112	4.50450632016500E-08
0.113	4.65156643751200E-08
0.114	4.80337261640598E-08
0.115	4.96007534364800E-08
0.116	5.12182974812100E-08
0.117	5.28879573776499E-08
0.118	5.46113814032407E-08
0.119	5.63902684799400E-08
0.12	5.82263696591100E-08
0.121	6.01214896467401E-08
0.122	6.20774883705998E-08
0.123	6.40962825880799E-08
0.124	6.61798475396499E-08
0.125	6.83302186425999E-08
0.126	7.05494932333902E-08
0.127	7.28398323541797E-08
0.128	7.52034625860201E-08
0.129	7.76426779325200E-08
0.13	8.01598417492197E-08
0.131	8.27573887255900E-08
0.132	8.54378269187597E-08
0.133	8.82037398361002E-08
0.134	9.10577885757597E-08
0.135	9.40027140178103E-08
0.136	9.70413390744796E-08
0.137	1.00176570993830E-07
0.138	1.03411403723120E-07
0.139	1.06748920332050E-07
0.14	1.10192295493970E-07
0.141	1.13744798029963E-07
0.142	1.17409793515040E-07
0.143	1.21190746947410E-07
0.144	1.25091225484690E-07
0.145	1.29114901242310E-07
0.146	1.33265554163009E-07
0.147	1.37547074953360E-07
0.148	1.41963468087290E-07
0.149	1.46518854886130E-07
0.15	1.51217476663420E-07
0.151	1.56063697949989E-07
0.152	1.61062009786770E-07
0.153	1.66217033098600E-07
0.154	1.71533522141280E-07
0.155	1.77016368027309E-07
0.156	1.82670602330600E-07
0.157	1.88501400772440E-07
0.158	1.94514086986730E-07
0.159	2.00714136368299E-07
0.16	2.07107180006850E-07
0.161	2.13699008700640E-07
0.162	2.20495577061110E-07
0.163	2.27503007701040E-07
0.164	2.34727595511689E-07
0.165	2.42175812027161E-07
0.166	2.49854309881129E-07
0.167	2.57769927351330E-07
0.168	2.65929692998480E-07
0.169	2.74340830394679E-07
0.17	2.83010762949611E-07
0.171	2.91947118825469E-07
0.172	3.01157735950708E-07
0.173	3.10650667130090E-07
0.174	3.20434185248301E-07
0.175	3.30516788572899E-07
0.176	3.40907206154099E-07
0.177	3.51614403324599E-07
0.178	3.62647587297200E-07
0.179	3.74016212860399E-07
0.18	3.85729988177401E-07
0.181	3.97798880683398E-07
0.182	4.10233123082600E-07
0.183	4.23043219449799E-07
0.184	4.36239951427301E-07
0.185	4.49834384528499E-07
0.186	4.63837874542401E-07
