
# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.193952  3.10401  i
 0.19977  2.9368  i
 0.205588  2.77422  i
 0.211407  2.61625  i
 0.217225  2.4629  i
 0.223043  2.31416  i
 0.228861  2.17004  i
 0.234679  2.03054  i
 0.240498  1.89565  i
 0.246316  1.76538  i
 0.252134  1.63973  i
 0.257952  1.51869  i
 0.26377  1.40227  i
 0.269588  1.29046  i
 0.275407  1.18327  i
 0.281225  1.0807  i
 0.287043  0.982742  i
 0.292861  0.889402  i
 0.298679  0.800678  i
 0.304498  0.716571  o
 0.310316  0.63708  o
 0.316134  0.562205  o
 0.321952  0.491947  o
 0.32777  0.426305  o
 0.333588  0.365279  o
 0.339407  0.30887  o
 0.345225  0.257077  o
 0.351043  0.2099  o
 0.356861  0.16734  o
 0.362679  0.129395  o
 0.368498  0.0960678  o
 0.374316  0.0673564  o
 0.380134  0.0432613  o
 0.385952  0.0237826  o
 0.39177  0.00892028  o
 0.397588 -0.00132575  o
 0.403407 -0.00695545  o
 0.409225 -0.00796881  o
 0.415043 -0.00436583  o
 0.420861  0.00385348  o
 0.426679  0.0166891  o
 0.432498  0.0341411  o
 0.438316  0.0562094  o
 0.444134  0.0828941  o
 0.449952  0.114195  o
 0.45577  0.150112  o
 0.461588  0.190646  o
 0.467407  0.235796  o
 0.473225  0.285562  o
 0.479043  0.339945  o
 0.484861  0.398944  o
 0.490679  0.462559  o
 0.496498  0.530791  o
 0.502316  0.603639  o
 0.508134  0.681103  o
 0.513952  0.763184  i
 0.51977  0.849881  i
 0.525588  0.941195  i
 0.531407  1.03712  i
 0.537225  1.13767  i
 0.543043  1.24283  i
 0.548861  1.35261  i
 0.554679  1.46701  i
 0.560498  1.58602  i
 0.566316  1.70965  i
 0.572134  1.83789  i
 0.577952  1.97075  i
 0.58377  2.10823  i
 0.589588  2.25032  i
 0.595407  2.39703  i
 0.601225  2.54835  i
 0.607043  2.7043  i
 0.612861  2.86486  i
 0.618679  3.03003  i
 0.624498  3.19982  i
 0.630316  3.37423  i
 0.636134  3.55325  i
 0.641952  3.73689  i
 0.64777  3.92515  i
 0.653588  4.11802  i
 0.659407  4.31551  i
 0.665225  4.51762  i
 0.671043  4.72434  i
 0.676861  4.93568  i
 0.682679  5.15163  i
 0.688498  5.3722  i
 0.694316  5.59739  i
 0.700134  5.82719  i
 0.705952  6.06161  i
 0.71177  6.30065  i
 0.717588  6.5443  i
 0.723407  6.79257  i
 0.729225  7.04545  i
 0.735043  7.30295  i
 0.740861  7.56507  i


# Curve 0 of 1, 100 points
# Curve title: "I(x)"
# x y type
 0.247292  1.74398  i
 0.251946  1.64371  i
 0.256601  1.54639  i
 0.261255  1.45202  i
 0.26591  1.36061  i
 0.270565  1.27216  i
 0.275219  1.18666  i
 0.279874  1.10411  o
 0.284528  1.02452  o
 0.289183  0.947879  o
 0.293837  0.874196  o
 0.298492  0.803467  o
 0.303146  0.735693  o
 0.307801  0.670873  o
