Freq.	V(secondstageout)
1.00000000000000e+06,2.29164197316229e+01,1.79999839395687e+02
1.02329299228075e+06,2.29164197316215e+01,1.79999835654732e+02
1.04712854805090e+06,2.29164197316201e+01,1.79999831826639e+02
1.07151930523761e+06,2.29164197316185e+01,1.79999827909378e+02
1.09647819614319e+06,2.29164197316169e+01,1.79999823900873e+02
1.12201845430196e+06,2.29164197316153e+01,1.79999819798997e+02
1.14815362149688e+06,2.29164197316135e+01,1.79999815601577e+02
1.17489755493953e+06,2.29164197316117e+01,1.79999811306386e+02
1.20226443461741e+06,2.29164197316097e+01,1.79999806911147e+02
1.23026877081238e+06,2.29164197316077e+01,1.79999802413530e+02
1.25892541179417e+06,2.29164197316056e+01,1.79999797811150e+02
1.28824955169313e+06,2.29164197316034e+01,1.79999793101566e+02
1.31825673855641e+06,2.29164197316011e+01,1.79999788282283e+02
1.34896288259165e+06,2.29164197315987e+01,1.79999783350743e+02
1.38038426460288e+06,2.29164197315961e+01,1.79999778304334e+02
1.41253754462275e+06,2.29164197315935e+01,1.79999773140379e+02
1.44543977074593e+06,2.29164197315907e+01,1.79999767856139e+02
1.47910838816821e+06,2.29164197315878e+01,1.79999762448814e+02
1.51356124843621e+06,2.29164197315847e+01,1.79999756915536e+02
1.54881661891248e+06,2.29164197315816e+01,1.79999751253371e+02
1.58489319246111e+06,2.29164197315782e+01,1.79999745459318e+02
1.62181009735893e+06,2.29164197315747e+01,1.79999739530304e+02
1.65958690743756e+06,2.29164197315710e+01,1.79999733463185e+02
1.69824365246174e+06,2.29164197315672e+01,1.79999727254745e+02
1.73780082874937e+06,2.29164197315632e+01,1.79999720901692e+02
1.77827941003892e+06,2.29164197315590e+01,1.79999714400658e+02
1.81970085860998e+06,2.29164197315546e+01,1.79999707748194e+02
1.86208713666287e+06,2.29164197315500e+01,1.79999700940775e+02
1.90546071796325e+06,2.29164197315451e+01,1.79999693974791e+02
1.94984459975804e+06,2.29164197315401e+01,1.79999686846548e+02
1.99526231496888e+06,2.29164197315348e+01,1.79999679552267e+02
2.04173794466953e+06,2.29164197315292e+01,1.79999672088081e+02
2.08929613085404e+06,2.29164197315234e+01,1.79999664450031e+02
2.13796208950223e+06,2.29164197315173e+01,1.79999656634068e+02
2.18776162394955e+06,2.29164197315110e+01,1.79999648636048e+02
2.23872113856834e+06,2.29164197315043e+01,1.79999640451730e+02
2.29086765276777e+06,2.29164197314973e+01,1.79999632076775e+02
2.34422881531992e+06,2.29164197314900e+01,1.79999623506742e+02
2.39883291901949e+06,2.29164197314823e+01,1.79999614737088e+02
2.45470891568503e+06,2.29164197314743e+01,1.79999605763162e+02
2.51188643150958e+06,2.29164197314659e+01,1.79999596580206e+02
2.57039578276886e+06,2.29164197314571e+01,1.79999587183352e+02
2.63026799189538e+06,2.29164197314479e+01,1.79999577567617e+02
2.69153480392691e+06,2.29164197314383e+01,1.79999567727903e+02
2.75422870333816e+06,2.29164197314282e+01,1.79999557658992e+02
2.81838293126445e+06,2.29164197314176e+01,1.79999547355547e+02
2.88403150312660e+06,2.29164197314065e+01,1.79999536812103e+02
2.95120922666638e+06,2.29164197313949e+01,1.79999526023071e+02
3.01995172040201e+06,2.29164197313828e+01,1.79999514982730e+02
3.09029543251359e+06,2.29164197313701e+01,1.79999503685226e+02
3.16227766016838e+06,2.29164197313568e+01,1.79999492124570e+02
3.23593656929628e+06,2.29164197313428e+01,1.79999480294631e+02
3.31131121482591e+06,2.29164197313283e+01,1.79999468189138e+02
3.38844156139202e+06,2.29164197313130e+01,1.79999455801672e+02
3.46736850452531e+06,2.29164197312970e+01,1.79999443125665e+02
3.54813389233575e+06,2.29164197312802e+01,1.79999430154395e+02
3.63078054770101e+06,2.29164197312627e+01,1.79999416880986e+02
3.71535229097172e+06,2.29164197312443e+01,1.79999403298399e+02
3.80189396320561e+06,2.29164197312251e+01,1.79999389399433e+02
3.89045144994280e+06,2.29164197312049e+01,1.79999375176719e+02
3.98107170553497e+06,2.29164197311838e+01,1.79999360622715e+02
4.07380277804112e+06,2.29164197311617e+01,1.79999345729705e+02
4.16869383470335e+06,2.29164197311386e+01,1.79999330489792e+02
4.26579518801592e+06,2.29164197311144e+01,1.79999314894896e+02
4.36515832240165e+06,2.29164197310890e+01,1.79999298936748e+02
4.46683592150962e+06,2.29164197310625e+01,1.79999282606887e+02
4.57088189614874e+06,2.29164197310347e+01,1.79999265896655e+02
4.67735141287197e+06,2.29164197310056e+01,1.79999248797191e+02
4.78630092322638e+06,2.29164197309751e+01,1.79999231299430e+02
4.89778819368445e+06,2.29164197309431e+01,1.79999213394094e+02
5.01187233627271e+06,2.29164197309097e+01,1.79999195071688e+02
5.12861383991364e+06,2.29164197308747e+01,1.79999176322499e+02
5.24807460249772e+06,2.29164197308380e+01,1.79999157136586e+02
5.37031796370252e+06,2.29164197307997e+01,1.79999137503775e+02
5.49540873857624e+06,2.29164197307595e+01,1.79999117413657e+02
5.62341325190348e+06,2.29164197307174e+01,1.79999096855580e+02
5.75439937337156e+06,2.29164197306733e+01,1.79999075818644e+02
5.88843655355588e+06,2.29164197306272e+01,1.79999054291695e+02
6.02559586074357e+06,2.29164197305788e+01,1.79999032263318e+02
6.16595001861481e+06,2.29164197305282e+01,1.79999009721835e+02
6.30957344480192e+06,2.29164197304753e+01,1.79998986655294e+02
6.45654229034654e+06,2.29164197304198e+01,1.79998963051463e+02
6.60693448007595e+06,2.29164197303617e+01,1.79998938897829e+02
6.76082975391980e+06,2.29164197303008e+01,1.79998914181584e+02
