Freq.	V(mid)	V(tiaout)
1.00000000000000e+06,5.74745949222370e+01,1.79992611487274e+02,7.74795055862634e+01,-8.05606725687724e-03
1.02329299228075e+06,5.74745949189912e+01,1.79992439386706e+02,7.74795055829908e+01,-8.24371716746005e-03
1.04712854805090e+06,5.74745949155924e+01,1.79992263277401e+02,7.74795055795639e+01,-8.43573800582961e-03
1.07151930523761e+06,5.74745949120335e+01,1.79992083065983e+02,7.74795055759755e+01,-8.63223158396367e-03
1.09647819614319e+06,5.74745949083068e+01,1.79991898656902e+02,7.74795055722179e+01,-8.83330208534494e-03
1.12201845430196e+06,5.74745949044044e+01,1.79991709952382e+02,7.74795055682833e+01,-9.03905612020045e-03
1.14815362149688e+06,5.74745949003182e+01,1.79991516852370e+02,7.74795055641633e+01,-9.24960278202764e-03
1.17489755493953e+06,5.74745948960394e+01,1.79991319254480e+02,7.74795055598491e+01,-9.46505370543713e-03
1.20226443461741e+06,5.74745948915589e+01,1.79991117053945e+02,7.74795055553315e+01,-9.68552312534278e-03
1.23026877081238e+06,5.74745948868673e+01,1.79990910143554e+02,7.74795055506011e+01,-9.91112793753045e-03
1.25892541179417e+06,5.74745948819546e+01,1.79990698413602e+02,7.74795055456477e+01,-1.01419877606376e-02
1.28824955169313e+06,5.74745948768103e+01,1.79990481751825e+02,7.74795055404609e+01,-1.03782249995767e-02
1.31825673855641e+06,5.74745948714236e+01,1.79990260043348e+02,7.74795055350296e+01,-1.06199649104355e-02
1.34896288259165e+06,5.74745948657830e+01,1.79990033170617e+02,7.74795055293424e+01,-1.08673356668898e-02
1.38038426460288e+06,5.74745948598766e+01,1.79989801013342e+02,7.74795055233871e+01,-1.11204684281624e-02
1.41253754462275e+06,5.74745948536918e+01,1.79989563448429e+02,7.74795055171512e+01,-1.13794974085655e-02
1.44543977074593e+06,5.74745948472156e+01,1.79989320349919e+02,7.74795055106214e+01,-1.16445599486625e-02
1.47910838816821e+06,5.74745948404341e+01,1.79989071588918e+02,7.74795055037838e+01,-1.19157965880881e-02
1.51356124843621e+06,5.74745948333331e+01,1.79988817033529e+02,7.74795054966240e+01,-1.21933511400636e-02
1.54881661891248e+06,5.74745948258973e+01,1.79988556548783e+02,7.74795054891268e+01,-1.24773707676488e-02
1.58489319246111e+06,5.74745948181112e+01,1.79988289996569e+02,7.74795054812762e+01,-1.27680060617694e-02
1.62181009735893e+06,5.74745948099581e+01,1.79988017235557e+02,7.74795054730556e+01,-1.30654111210623e-02
1.65958690743756e+06,5.74745948014207e+01,1.79987738121125e+02,7.74795054644477e+01,-1.33697436335803e-02
1.69824365246174e+06,5.74745947924810e+01,1.79987452505284e+02,7.74795054554340e+01,-1.36811649604003e-02
1.73780082874937e+06,5.74745947831200e+01,1.79987160236595e+02,7.74795054459955e+01,-1.39998402211788e-02
1.77827941003892e+06,5.74745947733178e+01,1.79986861160095e+02,7.74795054361122e+01,-1.43259383817006e-02
1.81970085860998e+06,5.74745947630536e+01,1.79986555117209e+02,7.74795054257632e+01,-1.46596323434656e-02
1.86208713666287e+06,5.74745947523057e+01,1.79986241945669e+02,7.74795054149264e+01,-1.50010990353643e-02
1.90546071796325e+06,5.74745947410513e+01,1.79985921479428e+02,7.74795054035788e+01,-1.53505195074864e-02
1.94984459975804e+06,5.74745947292665e+01,1.79985593548569e+02,7.74795053916965e+01,-1.57080790271165e-02
1.99526231496888e+06,5.74745947169262e+01,1.79985257979221e+02,7.74795053792542e+01,-1.60739671769644e-02
2.04173794466953e+06,5.74745947040044e+01,1.79984914593459e+02,7.74795053662255e+01,-1.64483779556843e-02
2.08929613085404e+06,5.74745946904736e+01,1.79984563209217e+02,7.74795053525827e+01,-1.68315098807346e-02
2.13796208950223e+06,5.74745946763051e+01,1.79984203640185e+02,7.74795053382971e+01,-1.72235660936346e-02
2.18776162394955e+06,5.74745946614689e+01,1.79983835695716e+02,7.74795053233381e+01,-1.76247544676720e-02
2.23872113856834e+06,5.74745946459335e+01,1.79983459180721e+02,7.74795053076741e+01,-1.80352877181196e-02
2.29086765276777e+06,5.74745946296659e+01,1.79983073895565e+02,7.74795052912720e+01,-1.84553835150192e-02
2.34422881531992e+06,5.74745946126316e+01,1.79982679635968e+02,7.74795052740968e+01,-1.88852645985927e-02
2.39883291901949e+06,5.74745945947945e+01,1.79982276192886e+02,7.74795052561122e+01,-1.93251588973413e-02
2.45470891568503e+06,5.74745945761168e+01,1.79981863352409e+02,7.74795052372800e+01,-1.97752996488952e-02
2.51188643150958e+06,5.74745945565589e+01,1.79981440895644e+02,7.74795052175602e+01,-2.02359255236790e-02
2.57039578276886e+06,5.74745945360792e+01,1.79981008598598e+02,7.74795051969111e+01,-2.07072807514568e-02
2.63026799189538e+06,5.74745945146343e+01,1.79980566232063e+02,7.74795051752888e+01,-2.11896152508256e-02
2.69153480392691e+06,5.74745944921788e+01,1.79980113561490e+02,7.74795051526475e+01,-2.16831847617242e-02
2.75422870333816e+06,5.74745944686650e+01,1.79979650346868e+02,7.74795051289392e+01,-2.21882509810292e-02
2.81838293126445e+06,5.74745944440430e+01,1.79979176342593e+02,7.74795051041135e+01,-2.27050817013091e-02
2.88403150312660e+06,5.74745944182606e+01,1.79978691297343e+02,7.74795050781178e+01,-2.32339509528102e-02
2.95120922666638e+06,5.74745943912631e+01,1.79978194953941e+02,7.74795050508970e+01,-2.37751391487502e-02
3.01995172040201e+06,5.74745943629932e+01,1.79977687049219e+02,7.74795050223933e+01,-2.43289332339956e-02
