0.001	9.30284164626700E-10	1.24175518149320E-09	1.55330244674680E-09	1.86489914705180E-09	2.17653131919370E-09	2.48819077112369E-09	2.79987226187780E-09	3.11157221115609E-09
0.002	9.61232294596100E-10	1.28306509581800E-09	1.60497667882730E-09	1.92693933964871E-09	2.24893865136370E-09	2.57096614957190E-09	2.89301641920620E-09	3.21508576113060E-09
0.003	9.93208022677898E-10	1.32574665754440E-09	1.65836669154200E-09	1.99103950062510E-09	2.32375017852351E-09	2.65648997983550E-09	2.98925330958640E-09	3.32203634560000E-09
0.004	1.02624537052700E-09	1.36984527888500E-09	1.71352929048950E-09	2.05726783059380E-09	2.40104549799680E-09	2.74485325673560E-09	3.08868532591599E-09	3.43253775650800E-09
0.005	1.06037948108870E-09	1.41540786890460E-09	1.77052315361860E-09	2.12569477847660E-09	2.48090683074060E-09	2.83614997430351E-09	3.19141823640860E-09	3.54670753659701E-09
0.006	1.09564665550160E-09	1.46248288254840E-09	1.82940889271960E-09	2.19639311463220E-09	2.56341910719680E-09	2.93047722427530E-09	3.29756129456899E-09	3.66466710232599E-09
0.007	1.13208439101490E-09	1.51112037133630E-09	1.89024911656559E-09	2.26943800724010E-09	2.64867005629960E-09	3.02793529723220E-09	3.40722735387001E-09	3.78654187039300E-09
0.008	1.16973142001980E-09	1.56137203543830E-09	1.95310849635420E-09	2.34490710041410E-09	2.73675029655550E-09	3.12862778737820E-09	3.52053298497500E-09	3.91246138882000E-09
0.009	1.20862775046460E-09	1.61329127771300E-09	2.01805383308471E-09	2.42288059542050E-09	2.82775343103191E-09	3.23266170073840E-09	3.63759859778200E-09	4.04255947215000E-09
0.01	1.24881470769110E-09	1.66693325941490E-09	2.08515412720259E-09	2.50344133420210E-09	2.92177614480540E-09	3.34014756645400E-09	3.75854856666299E-09	4.17697434084701E-09
0.011	1.29033497735200E-09	1.72235495752070E-09	2.15448065054250E-09	2.58667488564270E-09	3.01891830530920E-09	3.45119955220900E-09	3.88351136007202E-09	4.31584876516999E-09
0.012	1.33323264989150E-09	1.77961522417520E-09	2.22610702060521E-09	2.67266963481099E-09	3.11928306693789E-09	3.56593558262300E-09	4.01261967464898E-09	4.45933021401601E-09
0.013	1.37755326649210E-09	1.83877484792381E-09	2.30010927690900E-09	2.76151687481201E-09	3.22297697804600E-09	3.68447746286800E-09	4.14601057262402E-09	4.60757100851699E-09
0.014	1.42334386638020E-09	1.89989661697929E-09	2.37656596042499E-09	2.85331090179280E-09	3.33011009174300E-09	3.80695100420399E-09	4.28382562526700E-09	4.76072847996002E-09
0.015	1.47065303573710E-09	1.96304538428290E-09	2.45555819500340E-09	2.94814911287650E-09	3.44079608040000E-09	3.93348615582901E-09	4.42621105921698E-09	4.91896513404799E-09
0.016	1.51953095815429E-09	2.02828813512431E-09	2.53716977154620E-09	3.04613210749210E-09	3.55515235374799E-09	4.06421713912700E-09	4.57331790893600E-09	5.08244881895700E-09
0.017	1.57002946679800E-09	2.09569405659780E-09	2.62148723532650E-09	3.14736379175560E-09	3.67330018064200E-09	4.19928258722400E-09	4.72530217312601E-09	5.25135289999299E-09
0.018	1.62220209810340E-09	2.16533460929350E-09	2.70859997551381E-09	3.25195148613391E-09	3.79536481499301E-09	4.33882568916199E-09	4.88232497695900E-09	5.42585643975201E-09
0.019	1.67610414729640E-09	2.23728360151559E-09	2.79860031780710E-09	3.36000603678599E-09	3.92147562548699E-09	4.48299433766601E-09	5.04455273858500E-09	5.60614438277301E-09
0.02	1.73179272579270E-09	2.31161726562590E-09	2.89158362040149E-09	3.47164193057199E-09	4.05176622995600E-09	4.63194128301399E-09	5.21215734228100E-09	5.79240774836098E-09
0.021	1.78932682013609E-09	2.38841433712120E-09	2.98764837236350E-09	3.58697741341500E-09	4.18637463307299E-09	4.78582429078199E-09	5.38531631565799E-09	5.98484382744099E-09
0.022	1.84876735320591E-09	2.46775613600741E-09	3.08689629579230E-09	3.70613461266401E-09	4.32544336998801E-09	4.94480630538502E-09	5.56421301391503E-09	6.18365638728002E-09
