	-0.1	-0.09	-0.08	-0.07	-0.06	-0.05	-0.04	-0.03	-0.02	-0.01	0	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.1
-0.1	-0.762026445	-0.755828029	-0.7446627	-0.724471157	-0.688985009	-0.630243961	-0.542795171	-0.429748153	-0.297169178	-0.151743531	-7.63E-06	0.151726341	0.29714643	0.429722263	0.542795172	0.630244067	0.688988197	0.724426076	0.744724371	0.755843803	0.762031101
-0.09	-0.091085275	-0.089693971	-0.087284835	-0.083196245	-0.07677879	-0.06777889	-0.056500518	-0.043547236	-0.029515158	-0.014883966	-1.15E-06	0.014882122	0.029511702	0.043543461	0.056501607	0.067785878	0.076786832	0.083199138	0.087284169	0.089693028	0.091084751
-0.08	-0.184608537	-0.181901261	-0.177194456	-0.169158902	-0.156440607	-0.138424344	-0.115626016	-0.089245095	-0.060538698	-0.030541784	-2.33E-06	0.030536127	0.06053052	0.089237365	0.115627839	0.138438667	0.156456058	0.169164879	0.177193933	0.181899971	0.184607774
-0.07	-0.281221774	-0.277376023	-0.270649938	-0.259066384	-0.240496649	-0.213754924	-0.179317966	-0.13886956	-0.094405379	-0.047682402	-3.65E-06	0.047673411	0.094392651	0.138857775	0.179320861	0.213775448	0.240518272	0.259075816	0.270650949	0.27737531	0.281221254
-0.06	-0.378947825	-0.37421693	-0.365888387	-0.351411328	-0.327875211	-0.2933123	-0.247759121	-0.193034991	-0.131806282	-0.066744553	-5.37E-06	0.066731615	0.131788778	0.193019527	0.247762953	0.293337593	0.327902031	0.35142511	0.365892235	0.374217521	0.37894785
-0.05	-0.473888242	-0.468509633	-0.458981757	-0.442286051	-0.414811884	-0.373736923	-0.318321628	-0.250029226	-0.171852871	-0.087393356	-7.63E-06	0.087375919	0.171831101	0.250010463	0.318325307	0.373766038	0.41484449	0.442305319	0.458989105	0.468511759	0.473888884
-0.04	-0.561611863	-0.555742467	-0.545284161	-0.526835976	-0.49618959	-0.449724632	-0.385838878	-0.305372835	-0.211303841	-0.10795487	-9.54E-06	0.107933938	0.211278696	0.305349943	0.385756005	0.449662716	0.496229936	0.526861901	0.545295311	0.55574613	0.561613089
-0.03	-0.637803844	-0.631554143	-0.620351757	-0.600456788	-0.567104551	-0.51592439	-0.444461281	-0.353305249	-0.245471718	-0.125749857	-9.75E-06	0.125728116	0.245444225	0.353362732	0.44446128	0.515847017	0.567155769	0.600492904	0.62036859	0.631560013	0.637805873
-0.02	-0.697445295	-0.691070726	-0.679573021	-0.658917082	-0.623668554	-0.568488815	-0.490325746	-0.390039298	-0.270946623	-0.138790739	-8.84E-06	0.138770464	0.270919218	0.390007727	0.490325744	0.568392197	0.623604607	0.658888518	0.679607408	0.691082595	0.697449291
-0.01	-0.737188597	-0.73095827	-0.71971182	-0.699337533	-0.663677367	-0.605972361	-0.522414265	-0.414717394	-0.287475112	-0.14703008	-8.05E-06	0.147011656	0.287449949	0.414686987	0.522414264	0.605972373	0.663677668	0.699293512	0.71969911	0.730975219	0.737193708
0	0.762026445	0.755828029	0.7446627	0.724471157	0.688985009	0.630243961	0.542795171	0.429748153	0.297169178	0.151743531	7.63E-06	-0.151726341	-0.29714643	-0.429722263	-0.542795172	-0.630244067	-0.688988197	-0.724426076	-0.744724371	-0.755843803	-0.762031101
