0	n	p
0.0129	5.97938490899E-11	1.91856614539E-11
0.013	5.99887989418E-11	1.92454165913E-11
0.0131	6.01843828581E-11	1.93053575550E-11
0.0132	6.03806028826E-11	1.93654849225E-11
0.0133	6.05774610813E-11	1.94257992716E-11
0.0134	6.07749595108E-11	1.94863011832E-11
0.0135	6.09731002499E-11	1.95469912379E-11
0.0136	6.11718853907E-11	1.96078700206E-11
0.0137	6.13713170176E-11	1.96689381161E-11
0.0138	6.15713972053E-11	1.97301961127E-11
0.0139	6.17721280891E-11	1.97916445982E-11
0.014	6.19735117416E-11	1.98532841646E-11
0.0141	6.21755503114E-11	1.99151154041E-11
0.0142	6.23782458917E-11	1.99771389123E-11
0.0143	6.25816006290E-11	2.00393552843E-11
0.0144	6.27856166530E-11	2.01017651194E-11
0.0145	6.29902961002E-11	2.01643690177E-11
0.0146	6.31956411366E-11	2.02271675802E-11
0.0147	6.34016539048E-11	2.02901614128E-11
0.0148	6.36083365608E-11	2.03533511191E-11
0.0149	6.38156912991E-11	2.04167373078E-11
0.015	6.40237202742E-11	2.04803205886E-11
0.0151	6.42324256783E-11	2.05441015724E-11
0.0152	6.44418097028E-11	2.06080808724E-11
0.0153	6.46518745459E-11	2.06722591043E-11
0.0154	6.48626224205E-11	2.07366368846E-11
0.0155	6.50740555148E-11	2.08012148327E-11
0.0156	6.52861760793E-11	2.08659935695E-11
0.0157	6.54989863237E-11	2.09309737174E-11
0.0158	6.57124884729E-11	2.09961559016E-11
0.0159	6.59266847901E-11	2.10615407485E-11
0.016	6.61415775141E-11	2.11271288865E-11
0.0161	6.63571688904E-11	2.11929209467E-11
0.0162	6.65734611956E-11	2.12589175616E-11
0.0163	6.67904566892E-11	2.13251193644E-11
0.0164	6.70081576541E-11	2.13915269935E-11
0.0165	6.72265663879E-11	2.14581410858E-11
0.0166	6.74456851476E-11	2.15249622821E-11
0.0167	6.76655162693E-11	2.15919912247E-11
0.0168	6.78860620320E-11	2.16592285580E-11
0.0169	6.81073247784E-11	2.17266749281E-11
0.017	6.83293068018E-11	2.17943309839E-11
0.0171	6.85520104430E-11	2.18621973752E-11
0.0172	6.87754380504E-11	2.19302747536E-11
0.0173	6.89995919471E-11	2.19985637753E-11
0.0174	6.92244744958E-11	2.20670650947E-11
0.0175	6.94500880586E-11	2.21357793714E-11
0.0176	6.96764349885E-11	2.22047072658E-11
