v1	Id(Mc2)
0.000000000000000e+000	1.141200e-010
1.000000000000000e-004	1.144254e-010
2.000000000000000e-004	1.147317e-010
3.000000000000000e-004	1.150388e-010
4.000000000000000e-004	1.153467e-010
5.000000000000000e-004	1.156554e-010
6.000000000000001e-004	1.159650e-010
7.000000000000001e-004	1.162753e-010
8.000000000000002e-004	1.165866e-010
9.000000000000002e-004	1.168986e-010
1.000000000000000e-003	1.172115e-010
1.100000000000000e-003	1.175252e-010
1.200000000000000e-003	1.178397e-010
1.300000000000000e-003	1.181551e-010
1.400000000000000e-003	1.184713e-010
1.500000000000001e-003	1.187884e-010
1.600000000000001e-003	1.191063e-010
1.700000000000001e-003	1.194251e-010
1.800000000000001e-003	1.197447e-010
1.900000000000001e-003	1.200652e-010
2.000000000000001e-003	1.203865e-010
2.100000000000000e-003	1.207087e-010
2.200000000000000e-003	1.210317e-010
2.300000000000000e-003	1.213556e-010
2.400000000000000e-003	1.216804e-010
2.500000000000000e-003	1.220060e-010
2.599999999999999e-003	1.223325e-010
2.699999999999999e-003	1.226599e-010
2.799999999999999e-003	1.229882e-010
2.899999999999999e-003	1.233173e-010
2.999999999999999e-003	1.236473e-010
3.099999999999999e-003	1.239782e-010
3.199999999999998e-003	1.243100e-010
3.299999999999998e-003	1.246426e-010
3.399999999999998e-003	1.249762e-010
3.499999999999998e-003	1.253106e-010
3.599999999999998e-003	1.256459e-010
3.699999999999998e-003	1.259822e-010
3.799999999999997e-003	1.263193e-010
3.899999999999997e-003	1.266573e-010
3.999999999999998e-003	1.269962e-010
4.099999999999998e-003	1.273360e-010
4.199999999999998e-003	1.276768e-010
4.299999999999998e-003	1.280184e-010
4.399999999999999e-003	1.283610e-010
4.499999999999999e-003	1.287044e-010
4.599999999999999e-003	1.290488e-010
4.699999999999999e-003	1.293941e-010
4.800000000000000e-003	1.297403e-010
4.900000000000000e-003	1.300875e-010
5.000000000000000e-003	1.304356e-010
5.100000000000000e-003	1.307846e-010
5.200000000000001e-003	1.311345e-010
5.300000000000001e-003	1.314854e-010
5.400000000000001e-003	1.318372e-010
5.500000000000001e-003	1.321899e-010
5.600000000000002e-003	1.325436e-010
5.700000000000002e-003	1.328982e-010
5.800000000000002e-003	1.332538e-010
5.900000000000003e-003	1.336103e-010
6.000000000000003e-003	1.339678e-010
6.100000000000003e-003	1.343262e-010
6.200000000000003e-003	1.346856e-010
6.300000000000004e-003	1.350459e-010
6.400000000000004e-003	1.354072e-010
6.500000000000004e-003	1.357695e-010
6.600000000000004e-003	1.361327e-010
6.700000000000005e-003	1.364969e-010
6.800000000000005e-003	1.368620e-010
6.900000000000005e-003	1.372282e-010
7.000000000000005e-003	1.375953e-010
7.100000000000006e-003	1.379634e-010
7.200000000000006e-003	1.383325e-010
7.300000000000006e-003	1.387025e-010
7.400000000000006e-003	1.390736e-010
7.500000000000007e-003	1.394456e-010
7.600000000000007e-003	1.398187e-010
7.700000000000007e-003	1.401927e-010
7.800000000000007e-003	1.405677e-010
7.900000000000008e-003	1.409437e-010
8.000000000000007e-003	1.413207e-010
8.100000000000007e-003	1.416988e-010
8.200000000000006e-003	1.420778e-010
8.300000000000005e-003	1.424579e-010
8.400000000000005e-003	1.428389e-010
8.500000000000004e-003	1.432210e-010
8.600000000000004e-003	1.436041e-010
8.700000000000003e-003	1.439882e-010
8.800000000000002e-003	1.443733e-010
8.900000000000002e-003	1.447595e-010
9.000000000000001e-003	1.451467e-010
9.100000000000000e-003	1.455349e-010
9.200000000000000e-003	1.459242e-010
9.299999999999999e-003	1.463145e-010
9.399999999999999e-003	1.467058e-010
9.499999999999998e-003	1.470982e-010
9.599999999999997e-003	1.474916e-010
9.699999999999997e-003	1.478861e-010
9.799999999999996e-003	1.482816e-010
9.899999999999996e-003	1.486782e-010
9.999999999999995e-003	1.490758e-010
1.009999999999999e-002	1.494745e-010
1.019999999999999e-002	1.498743e-010
1.029999999999999e-002	1.502751e-010
1.039999999999999e-002	1.506770e-010
1.049999999999999e-002	1.510800e-010
1.059999999999999e-002	1.514840e-010
1.069999999999999e-002	1.518891e-010
1.079999999999999e-002	1.522953e-010
1.089999999999999e-002	1.527026e-010
1.099999999999999e-002	1.531109e-010
1.109999999999999e-002	1.535204e-010
1.119999999999999e-002	1.539309e-010
1.129999999999999e-002	1.543426e-010
1.139999999999999e-002	1.547553e-010
1.149999999999999e-002	1.551691e-010
1.159999999999999e-002	1.555840e-010
1.169999999999999e-002	1.560001e-010
1.179999999999998e-002	1.564172e-010
1.189999999999998e-002	1.568355e-010
1.199999999999998e-002	1.572548e-010
1.209999999999998e-002	1.576753e-010
1.219999999999998e-002	1.580969e-010
1.229999999999998e-002	1.585196e-010
1.239999999999998e-002	1.589435e-010
1.249999999999998e-002	1.593685e-010
1.259999999999998e-002	1.597946e-010
1.269999999999998e-002	1.602218e-010
1.279999999999998e-002	1.606502e-010
1.289999999999998e-002	1.610797e-010
1.299999999999998e-002	1.615104e-010
1.309999999999998e-002	1.619422e-010
1.319999999999998e-002	1.623752e-010
1.329999999999998e-002	1.628093e-010
1.339999999999997e-002	1.632445e-010
1.349999999999997e-002	1.636810e-010
1.359999999999997e-002	1.641186e-010
1.369999999999997e-002	1.645573e-010
1.379999999999997e-002	1.649972e-010
1.389999999999997e-002	1.654383e-010
1.399999999999997e-002	1.658806e-010
1.409999999999997e-002	1.663241e-010
1.419999999999997e-002	1.667687e-010
1.429999999999997e-002	1.672145e-010
1.439999999999997e-002	1.676615e-010
1.449999999999997e-002	1.681097e-010
1.459999999999997e-002	1.685590e-010
1.469999999999997e-002	1.690096e-010
1.479999999999997e-002	1.694614e-010
1.489999999999997e-002	1.699144e-010
1.499999999999997e-002	1.703686e-010
1.509999999999996e-002	1.708239e-010
1.519999999999996e-002	1.712805e-010
1.529999999999996e-002	1.717384e-010
1.539999999999996e-002	1.721974e-010
1.549999999999996e-002	1.726576e-010
1.559999999999996e-002	1.731191e-010
1.569999999999996e-002	1.735818e-010
1.579999999999996e-002	1.740458e-010
1.589999999999996e-002	1.745109e-010
1.599999999999996e-002	1.749774e-010
1.609999999999996e-002	1.754450e-010
1.619999999999996e-002	1.759139e-010
1.629999999999996e-002	1.763840e-010
1.639999999999996e-002	1.768554e-010
1.649999999999996e-002	1.773281e-010
1.659999999999996e-002	1.778020e-010
1.669999999999995e-002	1.782771e-010
1.679999999999995e-002	1.787536e-010
1.689999999999995e-002	1.792313e-010
1.699999999999995e-002	1.797102e-010
1.709999999999995e-002	1.801905e-010
1.719999999999995e-002	1.806720e-010
1.729999999999995e-002	1.811548e-010
1.739999999999995e-002	1.816389e-010
1.749999999999995e-002	1.821242e-010
1.759999999999995e-002	1.826109e-010
1.769999999999995e-002	1.830988e-010
1.779999999999995e-002	1.835881e-010
1.789999999999995e-002	1.840786e-010
1.799999999999995e-002	1.845705e-010
1.809999999999995e-002	1.850637e-010
1.819999999999995e-002	1.855581e-010
1.829999999999995e-002	1.860539e-010
1.839999999999994e-002	1.865510e-010
1.849999999999994e-002	1.870495e-010
1.859999999999994e-002	1.875492e-010
1.869999999999994e-002	1.880503e-010
1.879999999999994e-002	1.885527e-010
1.889999999999994e-002	1.890565e-010
1.899999999999994e-002	1.895615e-010
1.909999999999994e-002	1.900680e-010
1.919999999999994e-002	1.905757e-010
1.929999999999994e-002	1.910849e-010
1.939999999999994e-002	1.915954e-010
1.949999999999994e-002	1.921072e-010
1.959999999999994e-002	1.926204e-010
1.969999999999994e-002	1.931349e-010
1.979999999999994e-002	1.936509e-010
1.989999999999994e-002	1.941682e-010
1.999999999999993e-002	1.946868e-010
2.009999999999993e-002	1.952069e-010
2.019999999999993e-002	1.957283e-010
2.029999999999993e-002	1.962511e-010
2.039999999999993e-002	1.967753e-010
2.049999999999993e-002	1.973009e-010
2.059999999999993e-002	1.978279e-010
2.069999999999993e-002	1.983563e-010
2.079999999999993e-002	1.988861e-010
2.089999999999993e-002	1.994173e-010
2.099999999999993e-002	1.999499e-010
2.109999999999993e-002	2.004840e-010
2.119999999999993e-002	2.010194e-010
2.129999999999993e-002	2.015563e-010
2.139999999999993e-002	2.020946e-010
2.149999999999993e-002	2.026343e-010
2.159999999999993e-002	2.031755e-010
2.169999999999992e-002	2.037181e-010
2.179999999999992e-002	2.042621e-010
2.189999999999992e-002	2.048076e-010
2.199999999999992e-002	2.053546e-010
2.209999999999992e-002	2.059029e-010
2.219999999999992e-002	2.064528e-010
2.229999999999992e-002	2.070041e-010
2.239999999999992e-002	2.075569e-010
