v1	Id(M)
0.000000000000000e+000	1.956830e-010
1.000000000000000e-004	1.962050e-010
2.000000000000000e-004	1.967285e-010
3.000000000000000e-004	1.972533e-010
4.000000000000000e-004	1.977796e-010
5.000000000000000e-004	1.983072e-010
6.000000000000001e-004	1.988363e-010
7.000000000000001e-004	1.993667e-010
8.000000000000002e-004	1.998986e-010
9.000000000000002e-004	2.004319e-010
1.000000000000000e-003	2.009666e-010
1.100000000000000e-003	2.015027e-010
1.200000000000000e-003	2.020403e-010
1.300000000000000e-003	2.025793e-010
1.400000000000000e-003	2.031197e-010
1.500000000000001e-003	2.036616e-010
1.600000000000001e-003	2.042049e-010
1.700000000000001e-003	2.047497e-010
1.800000000000001e-003	2.052959e-010
1.900000000000001e-003	2.058436e-010
2.000000000000001e-003	2.063927e-010
2.100000000000000e-003	2.069433e-010
2.200000000000000e-003	2.074953e-010
2.300000000000000e-003	2.080488e-010
2.400000000000000e-003	2.086038e-010
2.500000000000000e-003	2.091603e-010
2.599999999999999e-003	2.097183e-010
2.699999999999999e-003	2.102777e-010
2.799999999999999e-003	2.108386e-010
2.899999999999999e-003	2.114010e-010
2.999999999999999e-003	2.119650e-010
3.099999999999999e-003	2.125304e-010
3.199999999999998e-003	2.130973e-010
3.299999999999998e-003	2.136658e-010
3.399999999999998e-003	2.142357e-010
3.499999999999998e-003	2.148072e-010
3.599999999999998e-003	2.153802e-010
3.699999999999998e-003	2.159547e-010
3.799999999999997e-003	2.165307e-010
3.899999999999997e-003	2.171083e-010
3.999999999999998e-003	2.176874e-010
4.099999999999998e-003	2.182681e-010
4.199999999999998e-003	2.188503e-010
4.299999999999998e-003	2.194340e-010
4.399999999999999e-003	2.200193e-010
4.499999999999999e-003	2.206062e-010
4.599999999999999e-003	2.211946e-010
4.699999999999999e-003	2.217846e-010
4.800000000000000e-003	2.223761e-010
4.900000000000000e-003	2.229693e-010
5.000000000000000e-003	2.235640e-010
5.100000000000000e-003	2.241603e-010
5.200000000000001e-003	2.247581e-010
5.300000000000001e-003	2.253576e-010
5.400000000000001e-003	2.259587e-010
5.500000000000001e-003	2.265613e-010
5.600000000000002e-003	2.271656e-010
5.700000000000002e-003	2.277715e-010
5.800000000000002e-003	2.283790e-010
5.900000000000003e-003	2.289881e-010
6.000000000000003e-003	2.295988e-010
6.100000000000003e-003	2.302111e-010
6.200000000000003e-003	2.308251e-010
6.300000000000004e-003	2.314407e-010
6.400000000000004e-003	2.320579e-010
6.500000000000004e-003	2.326768e-010
6.600000000000004e-003	2.332974e-010
6.700000000000005e-003	2.339196e-010
6.800000000000005e-003	2.345434e-010
6.900000000000005e-003	2.351689e-010
7.000000000000005e-003	2.357960e-010
7.100000000000006e-003	2.364249e-010
7.200000000000006e-003	2.370553e-010
7.300000000000006e-003	2.376875e-010
7.400000000000006e-003	2.383214e-010
7.500000000000007e-003	2.389569e-010
7.600000000000007e-003	2.395942e-010
7.700000000000007e-003	2.402331e-010
7.800000000000007e-003	2.408737e-010
7.900000000000008e-003	2.415160e-010
8.000000000000007e-003	2.421601e-010
8.100000000000007e-003	2.428058e-010
8.200000000000006e-003	2.434533e-010
8.300000000000005e-003	2.441025e-010
8.400000000000005e-003	2.447534e-010
8.500000000000004e-003	2.454060e-010
8.600000000000004e-003	2.460604e-010
8.700000000000003e-003	2.467165e-010
8.800000000000002e-003	2.473744e-010
8.900000000000002e-003	2.480340e-010
9.000000000000001e-003	2.486953e-010
9.100000000000000e-003	2.493585e-010
9.200000000000000e-003	2.500233e-010
9.299999999999999e-003	2.506900e-010
9.399999999999999e-003	2.513584e-010
9.499999999999998e-003	2.520286e-010
9.599999999999997e-003	2.527006e-010
9.699999999999997e-003	2.533743e-010
9.799999999999996e-003	2.540499e-010
9.899999999999996e-003	2.547272e-010
9.999999999999995e-003	2.554064e-010
1.009999999999999e-002	2.560873e-010
1.019999999999999e-002	2.567701e-010
1.029999999999999e-002	2.574546e-010
1.039999999999999e-002	2.581410e-010
1.049999999999999e-002	2.588293e-010
1.059999999999999e-002	2.595193e-010
1.069999999999999e-002	2.602112e-010
1.079999999999999e-002	2.609049e-010
1.089999999999999e-002	2.616004e-010
1.099999999999999e-002	2.622979e-010
1.109999999999999e-002	2.629971e-010
1.119999999999999e-002	2.636982e-010
1.129999999999999e-002	2.644012e-010
1.139999999999999e-002	2.651060e-010
1.149999999999999e-002	2.658128e-010
1.159999999999999e-002	2.665213e-010
1.169999999999999e-002	2.672318e-010
1.179999999999998e-002	2.679442e-010
1.189999999999998e-002	2.686584e-010
1.199999999999998e-002	2.693746e-010
1.209999999999998e-002	2.700926e-010
1.219999999999998e-002	2.708126e-010
1.229999999999998e-002	2.715345e-010
1.239999999999998e-002	2.722582e-010
1.249999999999998e-002	2.729839e-010
1.259999999999998e-002	2.737116e-010
1.269999999999998e-002	2.744411e-010
1.279999999999998e-002	2.751726e-010
1.289999999999998e-002	2.759061e-010
1.299999999999998e-002	2.766415e-010
1.309999999999998e-002	2.773788e-010
1.319999999999998e-002	2.781181e-010
1.329999999999998e-002	2.788594e-010
1.339999999999997e-002	2.796026e-010
1.349999999999997e-002	2.803478e-010
1.359999999999997e-002	2.810950e-010
1.369999999999997e-002	2.818442e-010
1.379999999999997e-002	2.825953e-010
1.389999999999997e-002	2.833485e-010
1.399999999999997e-002	2.841036e-010
1.409999999999997e-002	2.848607e-010
1.419999999999997e-002	2.856199e-010
1.429999999999997e-002	2.863811e-010
1.439999999999997e-002	2.871443e-010
1.449999999999997e-002	2.879095e-010
1.459999999999997e-002	2.886767e-010
1.469999999999997e-002	2.894460e-010
1.479999999999997e-002	2.902174e-010
1.489999999999997e-002	2.909907e-010
1.499999999999997e-002	2.917661e-010
1.509999999999996e-002	2.925436e-010
1.519999999999996e-002	2.933231e-010
1.529999999999996e-002	2.941048e-010
1.539999999999996e-002	2.948884e-010
1.549999999999996e-002	2.956742e-010
1.559999999999996e-002	2.964620e-010
1.569999999999996e-002	2.972520e-010
1.579999999999996e-002	2.980440e-010
1.589999999999996e-002	2.988381e-010
1.599999999999996e-002	2.996344e-010
1.609999999999996e-002	3.004327e-010
1.619999999999996e-002	3.012332e-010
1.629999999999996e-002	3.020358e-010
1.639999999999996e-002	3.028405e-010
1.649999999999996e-002	3.036474e-010
1.659999999999996e-002	3.044563e-010
1.669999999999995e-002	3.052675e-010
1.679999999999995e-002	3.060808e-010
1.689999999999995e-002	3.068962e-010
1.699999999999995e-002	3.077138e-010
1.709999999999995e-002	3.085336e-010
1.719999999999995e-002	3.093555e-010
1.729999999999995e-002	3.101797e-010
1.739999999999995e-002	3.110060e-010
1.749999999999995e-002	3.118345e-010
1.759999999999995e-002	3.126652e-010
1.769999999999995e-002	3.134981e-010
1.779999999999995e-002	3.143332e-010
1.789999999999995e-002	3.151705e-010
1.799999999999995e-002	3.160100e-010
1.809999999999995e-002	3.168518e-010
1.819999999999995e-002	3.176958e-010
1.829999999999995e-002	3.185420e-010
1.839999999999994e-002	3.193905e-010
1.849999999999994e-002	3.202412e-010
1.859999999999994e-002	3.210942e-010
1.869999999999994e-002	3.219494e-010
1.879999999999994e-002	3.228069e-010
1.889999999999994e-002	3.236667e-010
1.899999999999994e-002	3.245288e-010
1.909999999999994e-002	3.253931e-010
1.919999999999994e-002	3.262597e-010
1.929999999999994e-002	3.271287e-010
1.939999999999994e-002	3.279999e-010
1.949999999999994e-002	3.288734e-010
1.959999999999994e-002	3.297493e-010
1.969999999999994e-002	3.306274e-010
1.979999999999994e-002	3.315079e-010
1.989999999999994e-002	3.323908e-010
1.999999999999993e-002	3.332759e-010
2.009999999999993e-002	3.341634e-010
2.019999999999993e-002	3.350533e-010
2.029999999999993e-002	3.359455e-010
2.039999999999993e-002	3.368401e-010
2.049999999999993e-002	3.377370e-010
2.059999999999993e-002	3.386363e-010
2.069999999999993e-002	3.395381e-010
2.079999999999993e-002	3.404421e-010
2.089999999999993e-002	3.413486e-010
2.099999999999993e-002	3.422575e-010
