VCTRL	freq[Hz]	
0.02	3491403154.78408	
0.04	3483373150.35834	
0.06	3459393778.25946	
0.08	3427677865.46276	
0.1	3388441561.3903	
0.12	3341950400.25944	
0.14	3296097121.7729	
0.16	3258367010.01843	
0.18	3235936569.29464	
0.2	3213660538.63868	
0.22	3198895109.68977	
0.24	3184197521.72451	
0.26	3169567463.04188	
0.28	3162277660.16677	
0.3	3155004623.37302	
0.32	3147748314.09972	
0.34	3140508693.87462	
0.36	3133285724.31399	
0.38	3126079367.12237	
0.4	3111716337.10444	
		
