VCTRL	freq[Hz]	
0.02	1241652307.59181	
0.04	1241652307.59181	
0.06	1241652307.59181	
0.08	1238796586.52977	
0.1	1235947433.44391	
0.12	1233104833.22831	
0.14	1227439231.15781	
0.16	1224616199.26445	
0.18	1218989598.92427	
0.2	1213388850.46439	
0.22	1205035940.37121	
0.24	1199499303.1488	
0.26	1191242008.0268	
0.28	1183041555.72459	
0.3	1174897554.93896	
0.32	1164126029.40993	
0.34	1153453257.82053	
0.36	1142878334.78922	
0.38	1132400363.23501	
0.4	1119437883.46661	
		
