VCTRL	freq[Hz]	
0.02	3372873086.58697	
0.04	3349654391.57657	
0.06	3326595532.93835	
0.08	3288516308.75816	
0.1	3228494121.71099	
0.12	3162277660.16677	
0.14	3076096814.73915	
0.16	2971666031.73652	
0.18	2851018267.50247	
0.2	2722701308.07654	
0.22	2618183008.21767	
0.24	2558585886.90436	
0.26	2540972705.54803	
0.28	2488857318.28114	
0.3	2393315756.40419	
0.32	2280342071.99928	
0.34	2147830474.12946	
0.36	2009092812.60773	
0.38	1870682140.36487	
0.4	1753880501.84089	
		
