time	V(vin)	V(vout)
8.214774106987280e-004	-9.006724e-002	-1.292750e-001
8.295689285558709e-004	-8.775381e-002	-1.273206e-001
8.376604464130137e-004	-8.521744e-002	-1.250563e-001
8.457519642701566e-004	-8.245813e-002	-1.224819e-001
8.538434821272995e-004	-7.947587e-002	-1.195976e-001
8.619349999844423e-004	-7.627067e-002	-1.164034e-001
8.703055356987280e-004	-7.273772e-002	-1.126422e-001
8.786760714130137e-004	-6.903068e-002	-1.084090e-001
8.870466071272995e-004	-6.514954e-002	-1.037037e-001
8.954171428415853e-004	-6.109429e-002	-9.852637e-002
9.037876785558710e-004	-5.686495e-002	-9.287691e-002
9.121582142701567e-004	-5.246151e-002	-8.675537e-002
9.205287499844424e-004	-4.788397e-002	-8.016174e-002
9.283412499844424e-004	-4.349091e-002	-7.350662e-002
9.361537499844424e-004	-3.902054e-002	-6.655280e-002
9.439662499844424e-004	-3.447288e-002	-5.930027e-002
9.517787499844424e-004	-2.984791e-002	-5.174903e-002
9.595912499844424e-004	-2.514565e-002	-4.389909e-002
9.674037499844424e-004	-2.036609e-002	-3.575044e-002
9.752162499844424e-004	-1.550923e-002	-2.730309e-002
9.788434821272995e-004	-1.325097e-002	-2.335617e-002
9.824707142701567e-004	-1.098877e-002	-1.939265e-002
9.860979464130137e-004	-8.722633e-003	-1.541252e-002
9.897251785558709e-004	-6.452556e-003	-1.141579e-002
9.933524106987281e-004	-4.178539e-003	-7.402448e-003
9.969796428415851e-004	-1.900584e-003	-3.372504e-003
1.000606874984442e-003	3.813099e-004	6.740466e-004
1.005071160698728e-003	3.191257e-003	5.660351e-003
1.009535446413014e-003	5.993201e-003	1.061306e-002
1.013999732127300e-003	8.787142e-003	1.553218e-002
1.018464017841585e-003	1.157308e-002	2.041770e-002
1.022928303555871e-003	1.435101e-002	2.526963e-002
1.027392589270157e-003	1.712094e-002	3.008796e-002
1.031856874984442e-003	1.988287e-002	3.487270e-002
1.039669374984442e-003	2.469545e-002	4.312917e-002
1.047481874984442e-003	2.942069e-002	5.105706e-002
1.055294374984442e-003	3.405860e-002	5.865639e-002
1.063106874984442e-003	3.860919e-002	6.592715e-002
1.070919374984442e-003	4.307244e-002	7.286933e-002
1.078731874984442e-003	4.744837e-002	7.948295e-002
1.086544374984442e-003	5.173696e-002	8.576800e-002
1.095472946413014e-003	5.648711e-002	9.233760e-002
1.104401517841585e-003	6.102580e-002	9.838212e-002
1.113330089270157e-003	6.535303e-002	1.039016e-001
1.122258660698728e-003	6.946879e-002	1.088959e-001
1.131187232127300e-003	7.337310e-002	1.133652e-001
1.140115803555871e-003	7.706594e-002	1.173094e-001
1.149044374984443e-003	8.054732e-002	1.207285e-001
1.157135892841585e-003	8.347003e-002	1.234273e-001
1.165227410698728e-003	8.616143e-002	1.258479e-001
1.173318928555871e-003	8.862150e-002	1.279905e-001
1.181410446413014e-003	9.085025e-002	1.298549e-001
1.189501964270157e-003	9.284767e-002	1.314412e-001
1.197593482127300e-003	9.461378e-002	1.327495e-001
1.205684999984443e-003	9.614856e-002	1.337796e-001
1.219914910698728e-003	9.821973e-002	1.351899e-001
1.234144821413014e-003	9.949939e-002	1.360574e-001
1.248374732127300e-003	9.998757e-002	1.363822e-001
1.262604642841585e-003	9.968424e-002	1.361642e-001
1.276834553555871e-003	9.858941e-002	1.354035e-001
1.291064464270157e-003	9.670309e-002	1.341000e-001
1.305294374984443e-003	9.402526e-002	1.322538e-001
1.313385892841585e-003	9.215772e-002	1.309194e-001
1.321477410698728e-003	9.006724e-002	1.292750e-001
1.329568928555871e-003	8.775381e-002	1.273206e-001
1.337660446413014e-003	8.521744e-002	1.250563e-001
1.345751964270157e-003	8.245813e-002	1.224819e-001
1.353843482127300e-003	7.947587e-002	1.195976e-001
1.361934999984443e-003	7.627067e-002	1.164034e-001
